Semana,Município,Focos,latitude,longitude
2020-06-07,MAJOR GERCINO,1,-27.42792580883704,-49.05263192701135
2020-08-16,TREZE DE MAIO,1,-28.566224209216447,-49.15419058150752
2021-01-03,MAJOR VIEIRA,1,-26.481213478137697,-50.361577147797256
2021-01-10,ATALANTA,1,-27.437303896595758,-49.74255039033168
2021-01-10,ERVAL VELHO,1,-27.284350801751902,-51.421889614368894
2021-01-10,MIRIM DOCE,1,-27.185593229141542,-50.175135877413425
2021-01-10,PRESIDENTE NEREU,1,-27.268252905221093,-49.354952472708355
2021-01-17,ERMO,1,-28.990337147169804,-49.65292076186806
2021-01-24,ITAIÓPOLIS,1,-26.472148311227254,-49.891245489879395
2021-01-24,JABORÁ,16,-27.141510230826746,-51.772666951728674
2021-02-21,RIO DAS ANTAS,1,-26.909076335888294,-51.063409436484186
2021-03-07,MORRO GRANDE,1,-28.72206489285062,-49.74048358458427
2021-03-14,LEBON RÉGIS,1,-26.85842921486788,-50.702568782604985
2021-05-02,RIO DO CAMPO,1,-26.892306720822397,-50.13139401795918
2021-05-09,CELSO RAMOS,1,-27.651968888665145,-51.30824148335268
2021-09-12,VIDAL RAMOS,1,-27.38788245270673,-49.34775257609078
2021-12-05,ARROIO TRINTA,8,-26.92149911289856,-51.33667814298063
2022-01-09,IOMERÊ,5,-26.987730004085797,-51.27550679848495
2022-01-16,DONA EMMA,1,-26.988700760959578,-49.778082402911785
2022-01-23,PINHEIRO PRETO,1,-27.049431015415728,-51.23605423031415
2022-02-27,DOUTOR PEDRINHO,1,-26.705567257195455,-49.55383878447964
2022-02-27,SÃO JOSÉ DO CERRITO,1,-27.598271651210737,-50.65026289681241
2022-03-06,PRESIDENTE CASTELLO BRANCO,3,-27.233334573923248,-51.7809355856458
2022-03-13,BOCAINA DO SUL,1,-27.763117533335603,-49.909163039792034
2022-03-13,IMBUIA,2,-27.502912858233568,-49.406525744418744
2022-03-20,BOM RETIRO,1,-27.785359887626676,-49.56300898690758
