 INVESTIGAÇÃO DENGUE A PARTIR DE 2014
Frequência por Mun infec SC e Sem.Epid.Sintomas
Classificacao Nova: Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Dengue, Dengue com sinais de alarme, Dengre grave
Conf.Desc pos2010: Laboratórial, Clínico-epidemiológico
Período:2022
"Mun infec SC";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"420010 Abelardo Luz";0;0;0;0;1;3;6;11;57;83;140;174;128;88;55;14;12;21;6;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;804
"420050 Águas de Chapecó";0;0;0;0;0;0;0;0;0;0;0;0;1;4;3;5;13;18;8;11;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65
"420055 Águas Frias";0;0;0;0;0;0;0;0;0;0;0;0;5;4;3;1;0;8;7;5;3;2;1;0;0;2;2;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48
"420075 Alto Bela Vista";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;2;11;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
"420080 Anchieta";0;0;0;0;0;0;0;0;0;1;3;7;3;4;1;0;5;8;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
"420125 Apiúna";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3
"420127 Arabutã";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420130 Araquari";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;7;12;16;10;14;5;4;6;1;3;1;1;1;3;1;0;1;0;0;0;1;1;1;0;1;2;0;0;1;1;0;2;0;3;0;2;106
"420170 Ascurra";0;0;0;0;0;0;0;0;0;3;28;46;44;49;43;33;30;25;22;20;7;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;359
"420205 Balneário Barra do Sul";0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;2;3;5;4;5;3;1;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34
